identifier,text,fr,es-ES,es-419,it,pt-PT,pt-BR,de,pl,tr,ru,ja,ko,zh-CN,zh-TW
SETTING_MEDALS_OVERRIDEURL_D,Specifies additional community medals JSON URLs to apply on top of the eisting community medals.,,,,,,,,,,,,,,
SETTING_VFX,VFX,,Efectos visuales,Efectos visuales,,,Efeitos Visuais (VFX),,Efekty wizualne,,,視覚効果,,,
SETTING_VFX_NOFIREBALL_T,Disable fireball screen effect,,Desactivar efecto en la pantalla de Bola de Fuego,Desactivar efecto en la pantalla de Bola de Fuego,,,Desabilitar efeito de tela da bola de fogo,Feurball Effekte,Wyłącz efekt wizualny fireball'a,,,ファイアボール(Fireball),,,
SETTING_VFX_NOFIREBALL_D,Disables the red outline from fireball.,,Desactiva el delineado rojo de Bola de Fuego,Desactiva el delineado rojo de Bola de Fuego,,,Desabilita o contorno vermelho da bola de fogo.,Schaltet Feuerball Effekte aus,Wyłącza czerwony zarys z fireball'a.,,,ファイアボール使用時の赤い集中線エフェクト表示を無効にします。,,,
SETTING_VFX_NOREFLECTIONS_T,Disable reflection,,Desactivar reflejos,Desactivar reflejos,,,Desabilitar refleão,Reflektionen,Wyłącz odbicie,,,光の反射,,,
SETTING_VFX_NOREFLECTIONS_D,Disable the reflection glares that appear in levels.<br>(Requires restart to re-enable.),,Desactiva los destellos en reflejos que aparecen en niveles.<br>(Requiere reinicio para activar.),Desactiva los destellos en reflejos que aparecen en niveles.<br>(Requiere reinicio para activar.),,,,Schaltet Reflektionen aus <br>(Starte neu um wieder zu aktivieren),Wyłącza oślepiające odbicia pojawiające sie na poziomach. (Wymaga ponownego włączenia gry),,,光の反射を無効にします。 <br>※再度有効にするにはゲームの再起動が必要です。,,,
SETTING_VFX_NOBLOOM_T,Disable bloom,,Desactivar resplandor,Desactivar resplandor,,,,Bloom Effekt,Wyłącz bloom,,,ブルーム効果,,,
SETTING_VFX_NOBLOOM_D,Disable the bloom effect.<br>(Requires restart to re-enable.),,Desactiva el efecto resplandeciente.<br>(Requiere reinicio para activar.),Desactiva el efecto resplandeciente.<br>(Requiere reinicio para activar.),,,,Schaltet Bloom aus <br>(Starte neu um wieder zu aktivieren),Wyłącza efekt bloom. (Wymaga ponownego włączenia gry),,,ブルーム効果(光があふれ出ているような効果)を無効にします。 <br>※再度有効にするには再起動が必要です。,,,
SETTING_VFX_NOSUN_T,Disable sun,,Desactivar sol,Desactivar sol,,,Desabilitar sol,Sonne,Wyłącz słońce,,,太陽,,,
SETTING_VFX_NOSUN_D,Disable the bright sun that appears in most levels.<br>(Requires restart to re-enable.),,Desactivar el sol brillante que aparece en varios niveles.<br>(Requiere reinicio para activar.),Desactivar el sol brillante que aparece en varios niveles.<br>(Requiere reinicio para activar.),,,,Schaltet die Sonne aus <br>(Starte neu um wieder zu aktivieren),Wyłącza jasne słońce które pojawia sie na większości poziomów. (Wymaga ponownego włączenia gry),,,レベル内の太陽を削除します。 <br>※再度有効にするには再起動が必要です。,,,
SETTING_VFX_NOSTOMP_T,Disable stomp splashbang,,,,,,,Stampfen Blendung,Wyłącz efekt wizualny stompa,,,ストンプ(Stomp),,,
SETTING_VFX_NOSTOMP_D,Disable the white flash and explosion that appear when you land a stomp.,,,,,,,Schalte das weiße Overlay der Stampfen Karte aus,Wyłącza biały błysk i wybuch który pojawia się po użyciu stompa,,,ストンプ使用時の衝撃波エフェクトを無効にします。,,,
SETTING_VFX_NOENVVFX_T,Disable additional environment FX,,,,,,,,Wyłącz dodatkowe efekty otoczenia,,,その他環境エフェクト,,,
SETTING_VFX_NOENVVFX_D,"Disables stuff like chapter 11 lightning, and possibly other stuff.",,,,,,"Desabilita coisas como relâmpagos do capítulo 11, e possivelmente outras coisas.",,Wyłącza efekty takie jak pioruny w rozdziale 11 oraz inne rzeczy.,,,11章「脆くも重きもの」レベル内の稲妻や、その他エフェクトを無効にします。,,,
SETTING_VFX_NOBOOF_T,Disable Book of Life overlay,,Desactivar capa del Libro de la Vida,Desactivar capa del Libro de la Vida,,,,Buch des Lebens Overlay ausschalten,,,,命の書のページ(Book of Life),,,
SETTING_VFX_NOBOOF_D,Disable the red diamond border from Book of Life.,,Desactiva el borde rojo del Libro de la Vida.,Desactiva el borde rojo del Libro de la Vida.,,,Desabilita a borda losangular vermelha do Livro da Vida.,Rote Umrandung des Buch des Lebens ausschalten,,,,命の書のページ使用時に表示されるひし形のエフェクトを無効にします。,,,
SETTING_VFX_NOSHOCKER_T,Disable shocker overlay,,Desactivar capa de Espantosos,Desactivar capa de Espantosos,,,,Schocker Overlay,Wyłącz efekt wizualny szokera,,,ショッカー,,,
SETTING_VFX_NOSHOCKER_D,"Disable the white flash from shockers, including the explosion.",,Desactiva el destello de los espantosos (¡no la eplosión!),Desactiva el destello de los espantosos (¡no la eplosión!),,,,Schaltet das weiße Overlay von Schockern aus,Wyłącza biały błysk z szokera.,,,ショッカー(花びら型デーモン)の花びらを踏んだ時に表示される爆発エフェクトを無効にします。,,,
SETTING_OPTIMIZATION,Optimization,,,,,,,,,,,最適化,,,
SETTING_OPTIMIZATION_CACHEGHOSTS_T,Cache Ghosts,,Almacenamiento Caché de Fantasmas,Almacenamiento Caché de Fantasmas,,,,,,,,プレイヤーゴーストのキャッシュ,,,
SETTING_OPTIMIZATION_CACHEGHOSTS_D,Caches the ghosts so they don't have to reload every restart.<br>Disable if you're messing with ghosts manually.,,Almacena en caché a los fantasmas para que no tengan que ser recargados en cada reseteo.,Almacena en caché a los fantasmas para que no tengan que ser recargados en cada reseteo.,,,,Cached die Ghost Datei damit sie nicht jedes mal neugeladen werden muss,,,,プレイヤーゴーストを自動でキャッシュするので、再起動するたびに再ロードする必要がなくなります。<br>手動で操作する場合はチェックを外してください。,,,
SETTING_OPTIMIZATION_FAKELOADING_T,Loading optimizations,,Optimización de Cargas,Optimización de Cargas,,,Otimizações de carregamento,Lade Optimierungen,,,,ローディング画面の最適化,,,
SETTING_OPTIMIZATION_FAKELOADING_D,Forces the game to not wait on loading screens.<br>Disable if you have weird menu issues.,,Fuerza al juego a no esperar en pantallas de carga.<br>Desactivar si tienes errores etraños en los menús.,Fuerza al juego a no esperar en pantallas de carga.<br>Desactivar si tienes errores etraños en los menús.,,,Força o jogo a não esperar nas telas de carregamento.<br>Desabilite se você tiver problemas de menu esquisitos.,"Schaltet aus, dass das Spiel auf Ladebildschirmen wartet",,,,ローディング中のウェイトタイムを減らします<br>※メニューに問題が発生した場合はチェックを外してください。,,,
SETTING_OPTIMIZATION_FASTSTART_T,Fast Startup,,Inicio Acelerado,Inicio Acelerado,,,,Schnelles Hochfahren,,,,高速スタートアップ,,,
SETTING_OPTIMIZATION_FASTSTART_D,Preloads essential scenes before the game even initializes to speed up the menu load.,,Precarga escenas esenciales antes de que el juego inicie para acelerar cargas de menús.,Precarga escenas esenciales antes de que el juego inicie para acelerar cargas de menús.,,,Pré-carrega cenas essenciais antes mesmo do jogo inicializar para acelerar o carregamento do menu.,Läd wichtige Scene vor für besser Hochfahrzeiten,,,,ゲームの初期化前に重要なシーンを先にロードして、メニューの読み込みを高速化します。,,,
SETTING_OPTIMIZATION_SUPERRESTART_T,Quick Restart,,,,,,,,,,,クイックリスタート,,,
SETTING_OPTIMIZATION_SUPERRESTART_D,Completely overrides the level loading routine on restart to be faster.,,,,,,,,,,,レベルをリスタートするとき、画面の暗転時間を最小限にします。,,,
SETTING_OPTIMIZATION_NOSTAGINGSR_T,Skip Staging Screen,,,,,,,,,,,ステージングスクリーンのスキップ,,,
SETTING_OPTIMIZATION_NOSTAGINGSR_D,Skips the staging screen while using Quick Restart.,,,,,,,,,,,クイックリスタート設定をオンにしているとき、レベルリスタート時にステージングスクリーンを表示せず、即座にレベルを開始します。<br>※ステージングスクリーン(Staging Screen)は、レベル情報とリーダーボードが表示される画面です。,,,
SETTING_OPTIMIZATION_PAUSESTAGINGSR_T,Pause Restarts to Staging,,,,,,,,,,,,,,
SETTING_OPTIMIZATION_GCTIMERSR_T,Restarts to call GC,,,,,,,,,,,,,,
SETTING_OPTIMIZATION_MEMTIMERSR_T,Restarts to call Resource cleanup,,,,,,,,,,,,,,
SETTING_OPTIMIZATION_USESCREENSHOTSR_T,Minimize Flashing,,,,,,,,,,,リスタート中の画面点滅の抑制,,,
SETTING_OPTIMIZATION_USESCREENSHOTSR_D,Use a screenshot of the stage to minimize flashing while using Quick Restart.,,,,,,,,,,,クイックリスタート設定をオンにしているとき、リスタート中の画面の点滅を最小限に抑えます。,,,
SETTING_OPTIMIZATION_UPDATEGLOBAL_T,Auto-update Global,,,,,,Auto-atualizar Global,,,,,グローバル・ネオンランキングの自動更新,,,
SETTING_OPTIMIZATION_UPDATEGLOBAL_D,Updates your Global Neon Rank the instant you PB a stage.,,,,,,Atualiza sua Classificação Global no instante que você melhora seu tempo numa fase.,,,,,各レベルで自己ベストを更新したとき、グローバル・ネオンランキングを即座に反映します。<br>※通常は信奉者の公園からグローバル・ネオンランキングを選択したときにランキングが更新されます。,,,
SETTING_MISC,Misc,,Misceláneo,Misceláneo,,,,Sonstiges,,,,未分類,,,
SETTING_MISC_ANTICHEATON_T,Force Anticheat,,,,,,,,,,,,,,
SETTING_MISC_AMBIENCEOFF_T,Ambience Remover,,Eliminar Ambiente,Eliminar Ambiente,,,Removedor de Ambiência,Hintergrundgeräusche,,,,環境音の無効化,,,
SETTING_MISC_AMBIENCEOFF_D,"Removes the ambience from the game, even when muted.",,"Quita el ruido de ambiente, incluso silenciado.","Quita el ruido de ambiente, incluso silenciado.",,,"Remove sons de ambiência do jogo, até quando mutado.",Schaltet alle Hintergrundgeräusche aus,,,,ゲーム内で流れる環境音(風の音等)を全てミュートします。<br>※チェックを外した場合は、ゲーム再起動後に設定が適用されます。,,,
SETTING_MISC_BOSSGHOSTS_T,Ghosts Everywhere,,Fantasmas en Todos Lados,Fantasmas en Todos Lados,,,Fantasmas em Todo Lugar,Ghost Knöpfe,,,,すべてのレベルでプレイヤーゴーストを表示,,,
SETTING_MISC_BOSSGHOSTS_D,"Allows you to record, playback, and toggle ghosts for every level.",,"Permite grabar, utilizar y activar fantasmas para todo nivel.","Permite grabar, utilizar y activar fantasmas para todo nivel.",,,,Erlaubt die überall dein Ghost ein-/ auszuschalten,,,,プレイヤーゴーストを使用できないボス戦等、全てのレベルでプレイヤーゴーストを表示/記録/保存します。,,,
SETTING_MISC_RUSHSEED_T,Level Rush Seed,,Seed Para Carrera de Niveles,Seed Para Carrera de Niveles,,,,Levelrausch Seed,,,,レベルラッシュのシード値(Level Rush Seed),,,
SETTING_MISC_RUSHSEED_D,Negative is random.,,Negativo es aleatorio.,Negativo es aleatorio.,,,Negativo é aleatório.,Gebe eine negative Zahl ein für zufälligen Seed,,,,マイナス値はランダムシードです。,,,
SETTING_MISC_CHEATERS_T,Cheater Banlist,,Lista de Bans de Tramposos,Lista de Bans de Tramposos,,,Lista de Trapaceiros Banidos,Cheater Markierung,,,,チーターBANリスト,,,
SETTING_MISC_CHEATERS_D,Highlights known cheaters as red on the leaderboard.,,Destaca en rojo tramposos conocidos en los leaderboards. ,Destaca en rojo tramposos conocidos en los leaderboards. ,,,Destaca em vermelho os nomes de trapaceiros conhecidos nos placares.,Markiert Cheater rot auf der Bestenliste,,,,リーダーボードにて、過去に不正行為を行った人の名前を赤色で表示します。,,,
SETTING_MISC_INSIGHTOFF_T,Skip Insight Screen,,Saltar Pantalla de Conocimiento,Saltar Pantalla de Conocimiento,,,Pular Tela de Insight,Einsicht Screen,,,,インサイト・クリスタル取得表示スキップ,,,
SETTING_MISC_INSIGHTOFF_D,"No longer displays the ""Insight Crystal Dust (Empty)"" screen after finishing a sidequest level.",,"Ya no muestra la pantalla de ""Polvo de cristal de conocimiento (vacío)"" luego de finalizar una misión secundaria.","Ya no muestra la pantalla de ""Polvo de cristal de conocimiento (vacío)"" luego de finalizar una misión secundaria.",,,"Não mostra mais a tela com ""Pó de Cristal de Insight (Vazio)"" após terminar uma missão secundária.",Überspringt den Einsichts Screen beim beenden einer Nebenquest,,,,サイドクエストをクリアしたときに表示されるインサイト・クリスタルの粉(空)取得演出をスキップします。,,,
SETTING_MISC_NOINTRO_T,Skip Intro,,Saltar Intro,Saltar Intro,,,Pular Intro,Intro Überspringen,,,,ゲーム起動時のOPスキップ,,,
SETTING_MISC_NOINTRO_D,"Never hear the fabled ""We're called neons."" speech when you start up your game.",,"No vuelvas a escuchar el diálogo de ""We're called neons."" cuando inicializas el juego.","No vuelvas a escuchar el diálogo de ""We're called neons."" cuando inicializas el juego.",,,,Überspringe des Intro beim hochfahren :(,,,,ゲーム起動時の爆音オープニング映像をスキップします。<br>※直訳：「We're called Neons」という伝説的な言葉を聞く必要がなくなります！,,,
SETTING_MISC_GHOSTDIR_T,Open Ghost Directory Button,,,,,,Botão de Abrir Diretório de Fantasmas,Ghost Ordner,,,,プレイヤーゴースト保存フォルダ表示ボタン,,,
SETTING_MISC_GHOSTDIR_D,Adds a button to access the ghost directory of the selected/current level.,,,,,,Adiciona um botão para acessar o diretório de fantasmas do nível selecionado/atual.,"Zeige eine Knopf an, der dich zum Ghost Ordner bringt",,,,レベル選択画面/選択した各レベル内で、プレイヤーゴースト保存フォルダを表示するボタンを追加します。,,,
SETTING_DISCORD,Discord,,,,,,,,,,,,,,
SETTING_DISCORD_ENABLED_T,Discord Rich Presence,,Rich Presence en Discord,Rich Presence en Discord,,,,Discord einbettung,,,,,,,
SETTING_DISCORD_ENABLED_D,Enables the use of Discord Rich Presence.,,Activa el uso de estado de la actividad (Rich Presence) en Discord.,Activa el uso de estado de la actividad (Rich Presence) en Discord.,,,,Schaltet die Discord Einbettung ein,,,,Neon Whiteプレイ中の情報をDiscordのプロフィールに表示します。,,,
SETTING_DISCORD_MENUTITLE_T,Headline in menu,,Titular en Menú,Titular en Menú,,,,Überschrift im Menü,,,,メニュー画面での表示(タイトル),,,
SETTING_DISCORD_MENUDESC_T,Description in menu,,Descripción en Menú,Descripción en Menú,,,Descrição no menu,Beschreibung im Menü,,,,メニュー画面での表示(詳細),,,
SETTING_DISCORD_RUSHTITLE_T,Headline in level rush,,Titular en Carrera de Niveles,Titular en Carrera de Niveles,,,,Überschrift im Level Rausch,,,,ラッシュモードプレイ中の表示(タイトル),,,
SETTING_DISCORD_RUSHTITLE_D,"%t = Rush type, %i = Current level, %r = Remaining levels, %l = Level name",,"%t = Tipo de carrera, %i = Nivel Actual, %r = Niveles restantes, %l = Nombre del nivel","%t = Tipo de carrera, %i = Nivel Actual, %r = Niveles restantes, %l = Nombre del nivel",,,,"%t = Rausch Typ, %i = Level Anzahl, %r = Übrige Level, %l = Level Name",,,,"使用できる変数は次の通り。%t = ラッシュの名前, %i = 進行レベル数, %r = 合計レベル数, %l = レベル名",,,
SETTING_DISCORD_RUSHDESC_T,Description in level rush,,Descripción en Carrera de Niveles,Descripción en Carrera de Niveles,,,Descrição no modo corrida na fase,Beschreibung im Levelrausch,,,,ラッシュモードの表示(詳細),,,
SETTING_DISCORD_RUSHDESC_D,Same as above.,,Igual que el superior.,Igual que el superior.,,,Mesmo que acima.,Dasselbe wie oben,,,,使用可能な変数は上と同じ。,,,
SETTING_DISCORD_LEVELTITLE_T,Headline in level,,Titular en nivel,Titular en nivel,,,,Überschrift im Level,,,,レベルプレイ中の表示(タイトル),,,
SETTING_DISCORD_LEVELTITLE_D,"%l = Level name, %p = Personal best, %r = Session attempts, %t = Total attempts",,"%l = Nombre del nivel, %p = Record personal, %r = Intentos de la sesión, %t = Intentos totales","%l = Nombre del nivel, %p = Record personal, %r = Intentos de la sesión, %t = Intentos totales",,,,"%l = Level Name, %p = Bestzeit, %r = Sitzungsversuche, %t = Totale Versuche",,,,"%l = レベル名, %p = 自己ベスト, %r = Neon White起動中のプレイ回数, %t = 合計プレイ回数",,,
SETTING_DISCORD_LEVELDESC_T,Description in level,,Descripción en nivel,Descripción en nivel,,,Descrição na fase,Beschreibung im Levelrausch,,,,レベルプレイ中の表示(詳細),,,
SETTING_DISCORD_LEVELDESC_D,Same as above.,,Igual que el superior.,Igual que el superior.,,,Mesmo que acima.,Dasselbe wie oben,,,,使用可能な変数は上と同じ。,,,
SETTING_DISCORD_SESHTIMER_T,Show session timer,,Mostrar temporizador de la sesión.,Mostrar temporizador de la sesión.,,,Mostrar cronômetro da sessão,Zeigt den Sitzungstimer an,,,,Neon White起動時間/レベルのプレイ時間の表示切り替え,,,
SETTING_DISCORD_SESHTIMER_D,Show a total session timer instead of a level/rush session timer.,,Mostrar un temporizador de la sesión en lugar del temporizador del nivel/carrera.,Mostrar un temporizador de la sesión en lugar del temporizador del nivel/carrera.,,,,Zeige einen Sitzungstimer statt dem Level/ Rausch Timer,,,,チェックを付けると、Neon White起動時間を表示します。チェックを外すと、各レベル/ラッシュのプレイ時間を表示します。,,,
SETTING_CARDS,Cards,,Cartas,Cartas,,,Cartas,Karten,Karty,,,ソウルカード,,,
SETTING_CARDS_ENABLED_T,Card Customizations,,Customización de Cartas,Customización de Cartas,,,Customizações de Cartas,Selbstbestimte Karten,Kastomizacja kart,,,ソウルカードテキストのカスタマイズ,,,
SETTING_CARDS_ENABLED_D,Lets you customize the text on each card. Changes require full level restart.,,Permite customizar el texto en cada carta. Los cambios requieren reiniciar el nivel.,Permite customizar el texto en cada carta. Los cambios requieren reiniciar el nivel.,,,Te deia customizar o texto em cada carta. Reinicie a fase pra ver mudanças.,Erlaubt dir die Namen von deinen Karten selber festzulegen,Pozwala ci kastomizować tekst na każdej karcie. Zmiany wymagają restartu poziomu.,,,各ソウルカードのテキストをカスタマイズします。<br>※レベルプレイ中に設定した場合、メニューに一度戻る必要があります。,,,
SETTING_CARDS_ELEVATE_T,Elevate Text,,Texto Elevación,Texto Elevación,,,Texto da Elevação,Erhöhen Text,,,,エレベイト(Elevate),,,
SETTING_CARDS_PURIFY_T,Purify Text,,Texto Purificación,Texto Purificación,,,Texto da Purificação,Läuterungsbomben Text,,,,ピュリファイ(Purify),,,
SETTING_CARDS_GODSPEED_T,Godspeed Text,,Texto Celeridad,Texto Celeridad,,,Texto da Vá com Deus,Viel Erfolg Text,,,,ゴッドスピード(Godspeed),,,
SETTING_CARDS_STOMP_T,Stomp Text,,Texto Pisotón,Texto Pisotón,,,Texto da Pisão,Stampfen Text,,,,ストンプ(Stomp),,,
SETTING_CARDS_FIREBALL_T,Fireball Text,,Texto Bola de Fuego,Texto Bola de Fuego,,,Texto da Bola de Fogo,Feuerball Text,,,,ファイアボール(Fireball),,,
SETTING_CARDS_DOMINION_T,Dominion Text,,Texto Dominio,Texto Dominio,,,Texto da Domínio,Herrschaft Text,,,,ドミニオン(Dominion),,,
SETTING_CARDS_BOOF_T,Book of Life Text,,Texto Libro de la Vida,Texto Libro de la Vida,,,Texto do Livro da Vida,Buch des Lebens Text,,,,命の書のページ(Book of Life),,,
SETTING_CARDS_AMMO_T,Ammo Text,,Texto Munición,Texto Munición,,,Texto da Munição,Munition Text,,,,弾薬(Ammo),,,
SETTING_CARDS_HEALTH_T,Health Text,,Texto Salud,Texto Salud,,,Texto da Vida,Gesundheit Text,,,,ヘルス(Health),,,
SETTING_CROSSHAIR,Crosshair,,Mira,Mira,,,Mira,Fadenkreuz,Celownik,,,クロスヘア,,,
SETTING_CROSSHAIR_ENABLED_T,Crosshair Colors,,Color de Mira,Color de Mira,,,Cores da Mira,Fadenkreuz Farbe,Kolory celownika,,,クロスヘアの色,,,
SETTING_CROSSHAIR_ENABLED_D,Enables setting custom crosshair colors.,,Activa configuración personalizada de colores de mira.,Activa configuración personalizada de colores de mira.,,,,Schalten selbstbestimmte Farbenkreuz Farben ein,Włącza ustawienia własnego koloru celownika.,,,クロスヘアの色をカスタマイズします。,,,
SETTING_CROSSHAIR_MAIN_T,Main Color,,Color Principal,Color Principal,,,Cor Principal,Hauptfarbe,Główny kolor,,,メインカラー,,,
SETTING_CROSSHAIR_OVERHEAT_T,Overheat,,Heágono,Heágono,,,Superaquecimento,Überhitzung,Przegrzanie,,,オーバーヒート,,,
SETTING_CROSSHAIR_OVERHEAT_D,Purify/stomp/fireball hexagon,,Heágono de Purificación/Pisotón/Bola de Fuego,Heágono de Purificación/Pisotón/Bola de Fuego,,,Heágono da purificação/pisão/bola de fogo,Leuterung/ Stampfen/ Feuerball Heagon,Heksagon oczyszczenia/stąpniecia/kuli ognia,,,ピュリファイ/ストンプ/ファイアボールの六角形,,,
SETTING_CROSSHAIR_ZIPINNER_T,Inner Zipline Hexagon,,Heágono Interior de Tirolesa,Heágono Interior de Tirolesa,,,Heágono de Tirolesa Interno,Inneres Seilrutschen Heagon,Wewnętrzny heksagon kotwiczki,,,ドミニオンの六角形(内側),,,
SETTING_CROSSHAIR_ZIPINNER_D,Requires level restart.,,Requiere reiniciar el nivel.,Requiere reiniciar el nivel.,,,Requer reiniciar a fase.,Benötigt Level Neustart,Wymaga resetartu poziomu.,,,適用にはレベルのリスタートが必要です。,,,
